task_id,category,hardware,model,backend,run_index,raw_output,latency_s,input_tokens,output_tokens,tokens_per_second,peak_memory_mb,peak_memory_allocated_mb,peak_memory_reserved_mb,error,groq_server_tokens_per_second,groq_response_id,timestamp,correct,score_reason,parsed_calls,gold_calls,failure_type
simple_153,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_compounded_interest"", ""arguments"": {""principal"": 5000, ""rate"": 0.03, ""time"": 5, ""n"": 4}}
</tool_call>",3.073275675997138,329,48,15.618514269607847,15403.20458984375,15403.20458984375,15446.0,,,,2026-04-30T21:41:50.722912+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_compounded_interest"", ""arguments"": {""principal"": 5000, ""rate"": 0.03, ""time"": 5, ""n"": 4}}]","[{""name"": ""calculate_compounded_interest"", ""arguments"": {""principal"": [5000], ""rate"": [0.03], ""time"": [5], ""n"": [4]}}]",correct
simple_136,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""compound_interest"", ""arguments"": {""principal"": ""10000"", ""annual_rate"": ""5"", ""compounding_freq"": ""monthly"", ""time_in_years"": ""5""}}
</tool_call>",3.139456557109952,340,49,15.607796798152634,15405.83056640625,15405.83056640625,15448.0,,,,2026-04-30T21:41:53.805187+00:00,False,"argument_mismatch: Argument mismatch for 'annual_rate': predicted 5, gold [5.0].","[{""name"": ""compound_interest"", ""arguments"": {""principal"": ""10000"", ""annual_rate"": ""5"", ""compounding_freq"": ""monthly"", ""time_in_years"": ""5""}}]","[{""name"": ""compound_interest"", ""arguments"": {""principal"": [10000], ""annual_rate"": [5.0], ""compounding_freq"": [""monthly""], ""time_in_years"": [5]}}]",argument_mismatch
simple_58,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""cell_biology.function_lookup"", ""arguments"": {""molecule"": ""ATP synthase"", ""organelle"": ""mitochondria"", ""specific_function"": ""true""}}
</tool_call>",3.1268391772173345,280,49,15.67077717236693,15392.43994140625,15392.43994140625,15424.0,,,,2026-04-30T21:41:56.955788+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""cell_biology.function_lookup"", ""arguments"": {""molecule"": ""ATP synthase"", ""organelle"": ""mitochondria"", ""specific_function"": ""true""}}]","[{""name"": ""cell_biology.function_lookup"", ""arguments"": {""molecule"": [""ATP synthase""], ""organelle"": [""mitochondria""], ""specific_function"": [true]}}]",correct
simple_55,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""biology.get_cell_info"", ""arguments"": {""cell_type"": ""human cell"", ""detailed"": ""true""}}
</tool_call>",2.285359783563763,234,36,15.752443120295933,15382.22802734375,15382.22802734375,15404.0,,,,2026-04-30T21:42:00.093038+00:00,False,"argument_mismatch: Argument mismatch for 'cell_type': predicted human cell, gold ['human'].","[{""name"": ""biology.get_cell_info"", ""arguments"": {""cell_type"": ""human cell"", ""detailed"": ""true""}}]","[{""name"": ""biology.get_cell_info"", ""arguments"": {""cell_type"": [""human""], ""detailed"": [true]}}]",argument_mismatch
simple_13,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_area_under_curve"", ""arguments"": {""function"": ""x**2"", ""interval"": ""[1, 3]"", ""method"": ""trapezoidal""}}
</tool_call>",3.008508905302733,298,47,15.622356948041206,15396.03466796875,15396.03466796875,15448.0,,,,2026-04-30T21:42:02.386947+00:00,False,"argument_mismatch: Argument mismatch for 'interval': predicted [1, 3], gold [[1.0, 3.0]].","[{""name"": ""calculate_area_under_curve"", ""arguments"": {""function"": ""x**2"", ""interval"": ""[1, 3]"", ""method"": ""trapezoidal""}}]","[{""name"": ""calculate_area_under_curve"", ""arguments"": {""function"": [""x**2"", ""lambda x: x**2"", ""y=x**2""], ""interval"": [[1.0, 3.0]], ""method"": ["""", ""trapezoidal""]}}]",argument_mismatch
simple_354,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""get_vegan_recipe"", ""arguments"": {""dish_type"": ""soup"", ""cooking_time"": ""30"", ""ingredient_preference"": ""[]""}}
</tool_call>",2.754993981216103,321,43,15.608019579418116,15401.29443359375,15401.29443359375,15446.0,,,,2026-04-30T21:42:05.403141+00:00,False,"argument_mismatch: Argument mismatch for 'ingredient_preference': predicted [], gold [''].","[{""name"": ""get_vegan_recipe"", ""arguments"": {""dish_type"": ""soup"", ""cooking_time"": ""30"", ""ingredient_preference"": ""[]""}}]","[{""name"": ""get_vegan_recipe"", ""arguments"": {""dish_type"": [""soup""], ""cooking_time"": [30], ""ingredient_preference"": [""""]}}]",argument_mismatch
simple_260,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""paint_requirement.calculate"", ""arguments"": {""area"": {""width"": 20, ""height"": 12}, ""paint_coverage"": 350, ""exclusion"": {""type"": ""window"", ""area"": 15}}}
</tool_call>",3.869330877903849,453,60,15.506557049084437,15432.81591796875,15432.81591796875,15490.0,,,,2026-04-30T21:42:08.169239+00:00,False,"argument_mismatch: Argument mismatch for 'area': predicted {'width': 20, 'height': 12}, gold [{'width': [20], 'height': [12]}].","[{""name"": ""paint_requirement.calculate"", ""arguments"": {""area"": {""width"": 20, ""height"": 12}, ""paint_coverage"": 350, ""exclusion"": {""type"": ""window"", ""area"": 15}}}]","[{""name"": ""paint_requirement.calculate"", ""arguments"": {""area"": [{""width"": [20], ""height"": [12]}], ""paint_coverage"": [350], ""exclusion"": [{""type"": [""window""], ""area"": [15]}]}}]",argument_mismatch
simple_367,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""find_recipe"", ""arguments"": {""dietary_restrictions"": ""vegan"", ""recipe_type"": ""dessert"", ""time"": ""30""}}
</tool_call>",2.745247090701014,287,43,15.663435231624165,15393.83837890625,15393.83837890625,15424.0,,,,2026-04-30T21:42:12.050321+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_recipe"", ""arguments"": {""dietary_restrictions"": ""vegan"", ""recipe_type"": ""dessert"", ""time"": ""30""}}]","[{""name"": ""find_recipe"", ""arguments"": {""dietary_restrictions"": [""vegan""], ""recipe_type"": [""dessert""], ""time"": [30]}}]",correct
simple_255,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""religious_history.get_papal_biography"", ""arguments"": {""papal_name"": ""Innocent III"", ""include_contributions"": true}}
</tool_call>",2.790626771748066,255,44,15.767067257237745,15385.53173828125,15385.53173828125,15430.0,,,,2026-04-30T21:42:14.807705+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""religious_history.get_papal_biography"", ""arguments"": {""papal_name"": ""Innocent III"", ""include_contributions"": true}}]","[{""name"": ""religious_history.get_papal_biography"", ""arguments"": {""papal_name"": [""Innocent III"", ""Pope Innocent III""], ""include_contributions"": [true]}}]",correct
simple_242,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""get_scientist_for_discovery"", ""arguments"": {""discovery"": ""theory of evolution""}}
</tool_call>",2.096040781121701,200,33,15.743968484401327,15372.39892578125,15372.39892578125,15394.0,,,,2026-04-30T21:42:17.606430+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""get_scientist_for_discovery"", ""arguments"": {""discovery"": ""theory of evolution""}}]","[{""name"": ""get_scientist_for_discovery"", ""arguments"": {""discovery"": [""Theory of Evolution"", ""theory of evolution""]}}]",correct
simple_176,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""lawsuit_details.find"", ""arguments"": {""company_name"": ""Apple Inc."", ""year"": ""2010"", ""case_type"": ""Patent""}}
</tool_call>",2.816232301760465,275,44,15.623711145026993,15390.30908203125,15390.30908203125,15426.0,,,,2026-04-30T21:42:19.710809+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""lawsuit_details.find"", ""arguments"": {""company_name"": ""Apple Inc."", ""year"": ""2010"", ""case_type"": ""Patent""}}]","[{""name"": ""lawsuit_details.find"", ""arguments"": {""company_name"": [""Apple Inc.""], ""year"": [2010], ""case_type"": [""Patent"", ""IPR""]}}]",correct
simple_57,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_cell_density"", ""arguments"": {""optical_density"": 0.6, ""dilution"": 5, ""calibration_factor"": 1e9}}
</tool_call>",3.0739517463371158,308,48,15.615079207797008,15398.93798828125,15398.93798828125,15446.0,,,,2026-04-30T21:42:22.534297+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_cell_density"", ""arguments"": {""optical_density"": 0.6, ""dilution"": 5, ""calibration_factor"": 1000000000.0}}]","[{""name"": ""calculate_cell_density"", ""arguments"": {""optical_density"": [0.6], ""dilution"": [5], ""calibration_factor"": [1000000000.0, """"]}}]",correct
simple_126,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""linear_regression.get_r_squared"", ""arguments"": {""dataset_path"": ""C:/data/cars.csv"", ""independent_variables"": ""['engine_size', 'fuel_economy']"", ""dependent_variable"": ""car_price""}}
</tool_call>",3.6370665840804577,304,57,15.671970441643987,15397.23291015625,15397.23291015625,15446.0,,,,2026-04-30T21:42:25.617135+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""linear_regression.get_r_squared"", ""arguments"": {""dataset_path"": ""C:/data/cars.csv"", ""independent_variables"": ""['engine_size', 'fuel_economy']"", ""dependent_variable"": ""car_price""}}]","[{""name"": ""linear_regression.get_r_squared"", ""arguments"": {""dataset_path"": [""C:/data/cars.csv""], ""independent_variables"": [[""engine_size"", ""fuel_economy""]], ""dependent_variable"": [""car_price""]}}]",correct
simple_20,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""math.hcf"", ""arguments"": {""number1"": ""36"", ""number2"": ""24""}}
</tool_call>",2.16103528207168,214,34,15.73319986122848,15375.74169921875,15375.74169921875,15392.0,,,,2026-04-30T21:42:29.264584+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""math.hcf"", ""arguments"": {""number1"": ""36"", ""number2"": ""24""}}]","[{""name"": ""math.hcf"", ""arguments"": {""number1"": [36], ""number2"": [24]}}]",correct
simple_160,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""get_case_info"", ""arguments"": {""docket"": ""2022/AL2562"", ""court"": ""California"", ""info_type"": ""victim""}}
</tool_call>",2.880426752846688,280,45,15.622685060651895,15392.43994140625,15392.43994140625,15424.0,,,,2026-04-30T21:42:31.435529+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""get_case_info"", ""arguments"": {""docket"": ""2022/AL2562"", ""court"": ""California"", ""info_type"": ""victim""}}]","[{""name"": ""get_case_info"", ""arguments"": {""docket"": [""2022/AL2562""], ""court"": [""California"", ""CA""], ""info_type"": [""victim""]}}]",correct
multiple_102,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_displacement"", ""arguments"": {""initial_velocity"": 10, ""time"": 5, ""acceleration"": 9.8}}
</tool_call>",2.7782391007058322,591,42,15.117489343998358,15469.22119140625,15469.22119140625,15506.0,,,,2026-04-30T21:42:34.322806+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_displacement"", ""arguments"": {""initial_velocity"": 10, ""time"": 5, ""acceleration"": 9.8}}]","[{""name"": ""calculate_displacement"", ""arguments"": {""initial_velocity"": [10], ""time"": [5], ""acceleration"": [9.8]}}]",correct
multiple_52,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""currency_conversion"", ""arguments"": {""amount"": ""100"", ""from_currency"": ""EUR"", ""to_currency"": ""USD""}}
</tool_call>",2.548294087871909,394,39,15.304356033949386,15418.72607421875,15418.72607421875,15474.0,,,,2026-04-30T21:42:37.111296+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""currency_conversion"", ""arguments"": {""amount"": ""100"", ""from_currency"": ""EUR"", ""to_currency"": ""USD""}}]","[{""name"": ""currency_conversion"", ""arguments"": {""amount"": [100], ""from_currency"": [""Euro"", ""EUR""], ""to_currency"": [""USD"", ""US Dollar""]}}]",correct
multiple_130,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_cagr"", ""arguments"": {""initial_value"": 2000, ""final_value"": 3000, ""period_in_years"": 4}}
</tool_call>",2.902693103067577,574,44,15.158336909093364,15464.83740234375,15464.83740234375,15492.0,,,,2026-04-30T21:42:39.667713+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_cagr"", ""arguments"": {""initial_value"": 2000, ""final_value"": 3000, ""period_in_years"": 4}}]","[{""name"": ""calculate_cagr"", ""arguments"": {""initial_value"": [2000], ""final_value"": [3000], ""period_in_years"": [4]}}]",correct
multiple_121,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""geometry.area_triangle"", ""arguments"": {""base"": ""6"", ""height"": ""10""}}
</tool_call>",2.151505602058023,578,32,14.873305451489594,15465.03662109375,15465.03662109375,15492.0,,,,2026-04-30T21:42:42.582692+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""geometry.area_triangle"", ""arguments"": {""base"": ""6"", ""height"": ""10""}}]","[{""name"": ""geometry.area_triangle"", ""arguments"": {""base"": [6], ""height"": [10], ""unit"": ["""", ""square meters""]}}]",correct
multiple_171,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""game_result.get_winner"", ""arguments"": {""teams"": ""['Lakers', 'Clippers']"", ""date"": ""2021-01-28""}}
</tool_call>",2.8640404329635203,416,44,15.362911603336444,15425.22900390625,15425.22900390625,15476.0,,,,2026-04-30T21:42:44.742220+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""game_result.get_winner"", ""arguments"": {""teams"": ""['Lakers', 'Clippers']"", ""date"": ""2021-01-28""}}]","[{""name"": ""game_result.get_winner"", ""arguments"": {""teams"": [[""Lakers"", ""Clippers""], [""Clippers"", ""Lakers""]], ""date"": [""2021-01-28"", ""01/28/2021"", ""Jan.28,2021""], ""venue"": [""""]}}]",correct
multiple_173,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""get_defense_ranking"", ""arguments"": {""season"": 2021, ""top"": 1}}
</tool_call>",2.3331515649333596,557,35,15.001168602177666,15463.68115234375,15463.68115234375,15492.0,,,,2026-04-30T21:42:47.613586+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""get_defense_ranking"", ""arguments"": {""season"": 2021, ""top"": 1}}]","[{""name"": ""get_defense_ranking"", ""arguments"": {""season"": [2021], ""top"": [1, """"]}}]",correct
multiple_151,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""social_media_analytics.most_followed"", ""arguments"": {""topic"": ""psychology"", ""sub_topics"": [""behaviour"", ""group dynamics""], ""region"": ""global""}}
</tool_call>",3.290876628831029,628,50,15.193520037170396,15481.61181640625,15481.61181640625,15524.0,,,,2026-04-30T21:42:49.957939+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""social_media_analytics.most_followed"", ""arguments"": {""topic"": ""psychology"", ""sub_topics"": [""behaviour"", ""group dynamics""], ""region"": ""global""}}]","[{""name"": ""social_media_analytics.most_followed"", ""arguments"": {""topic"": [""psychology"", ""Psychology""], ""sub_topics"": [[""behaviour"", ""group dynamics""], [""group dynamics"", ""behaviour""]], ""region"": ["""", ""global""]}}]",correct
multiple_18,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""european_history.battle_details"", ""arguments"": {""battle"": ""Battle of Stalingrad""}}
</tool_call>",2.144034911878407,369,33,15.39154041623717,15413.09912109375,15413.09912109375,15462.0,,,,2026-04-30T21:42:53.257737+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""european_history.battle_details"", ""arguments"": {""battle"": ""Battle of Stalingrad""}}]","[{""name"": ""european_history.battle_details"", ""arguments"": {""battle"": [""Battle of Stalingrad"", ""Stalingrad""]}}]",correct
multiple_50,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""house_price_forecast"", ""arguments"": {""location"": ""New York"", ""months"": 1}}
</tool_call>",2.27110610390082,557,34,14.970678799023117,15463.68115234375,15463.68115234375,15492.0,,,,2026-04-30T21:42:55.410580+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""house_price_forecast"", ""arguments"": {""location"": ""New York"", ""months"": 1}}]","[{""name"": ""house_price_forecast"", ""arguments"": {""location"": [""New York"", ""New York, NY"", ""NYC"", ""New York City""], ""months"": [1], ""features"": [[], """"]}}]",correct
multiple_12,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""corporate_finance.calculate_YOY_growth_rate"", ""arguments"": {""company_name"": ""Tech Inc"", ""year1"": 2019, ""year1_revenue"": 1000000, ""year2"": 2020, ""year2_revenue"": 1200000}}
</tool_call>",4.741162330843508,619,73,15.39706825161847,15474.10595703125,15474.10595703125,15524.0,,,,2026-04-30T21:42:57.692982+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""corporate_finance.calculate_YOY_growth_rate"", ""arguments"": {""company_name"": ""Tech Inc"", ""year1"": 2019, ""year1_revenue"": 1000000, ""year2"": 2020, ""year2_revenue"": 1200000}}]","[{""name"": ""corporate_finance.calculate_YOY_growth_rate"", ""arguments"": {""company_name"": [""Tech Inc""], ""year1"": [2019], ""year1_revenue"": [1000000], ""year2"": [2020], ""year2_revenue"": [1200000]}}]",correct
multiple_45,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""geology.get_era"", ""arguments"": {""era_name"": ""Ice age"", ""calculate_years_ago"": ""True""}}
</tool_call>",2.518508026842028,351,39,15.485358626751065,15410.16845703125,15410.16845703125,15448.0,,,,2026-04-30T21:43:02.442312+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""geology.get_era"", ""arguments"": {""era_name"": ""Ice age"", ""calculate_years_ago"": ""True""}}]","[{""name"": ""geology.get_era"", ""arguments"": {""era_name"": [""Ice age""], ""calculate_years_ago"": [true]}}]",correct
multiple_141,multiple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""lawsuit.check_case"", ""arguments"": {""case_id"": ""1234"", ""closed_status"": ""True""}}
</tool_call>",2.3910499159246683,545,36,15.056147410489361,15455.92333984375,15455.92333984375,15492.0,,,,2026-04-30T21:43:04.969389+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""lawsuit.check_case"", ""arguments"": {""case_id"": ""1234"", ""closed_status"": ""True""}}]","[{""name"": ""lawsuit.check_case"", ""arguments"": {""case_id"": [1234], ""closed_status"": [true]}}]",correct
